"predictions","Actual","predictions_type","AUC","Fold","Model","method"
"1",0,"training",0.892857142857143,1,"1Logistic Regression","1__1Logistic Regression"
"0",0,"training",0.892857142857143,1,"1Logistic Regression","1__1Logistic Regression"
"0",0,"training",0.892857142857143,1,"1Logistic Regression","1__1Logistic Regression"
"1",0,"training",0.892857142857143,1,"1Logistic Regression","1__1Logistic Regression"
"1",0,"training",0.892857142857143,1,"1Logistic Regression","1__1Logistic Regression"
"1",1,"training",0.892857142857143,1,"1Logistic Regression","1__1Logistic Regression"
"1",1,"training",0.892857142857143,1,"1Logistic Regression","1__1Logistic Regression"
"0",0,"training",0.892857142857143,1,"1Logistic Regression","1__1Logistic Regression"
"1",1,"training",0.892857142857143,1,"1Logistic Regression","1__1Logistic Regression"
"0",0,"training",0.892857142857143,1,"1Logistic Regression","1__1Logistic Regression"
"0",0,"training",0.892857142857143,1,"1Logistic Regression","1__1Logistic Regression"
"0",0,"training",0.892857142857143,1,"1Logistic Regression","1__1Logistic Regression"
"0",0,"training",0.892857142857143,1,"1Logistic Regression","1__1Logistic Regression"
"1",1,"training",0.892857142857143,1,"1Logistic Regression","1__1Logistic Regression"
"0",0,"training",0.892857142857143,1,"1Logistic Regression","1__1Logistic Regression"
"1",1,"training",0.892857142857143,1,"1Logistic Regression","1__1Logistic Regression"
"0",0,"training",0.892857142857143,1,"1Logistic Regression","1__1Logistic Regression"
"1",0,"training",0.892857142857143,1,"1Logistic Regression","1__1Logistic Regression"
"1",0,"training",0.892857142857143,1,"1Logistic Regression","1__1Logistic Regression"
"0",0,"training",0.892857142857143,1,"1Logistic Regression","1__1Logistic Regression"
"0",0,"testing",0.839285714285714,1,"1Logistic Regression","1__1Logistic Regression"
"1",1,"testing",0.839285714285714,1,"1Logistic Regression","1__1Logistic Regression"
"0",0,"testing",0.839285714285714,1,"1Logistic Regression","1__1Logistic Regression"
"0",0,"testing",0.839285714285714,1,"1Logistic Regression","1__1Logistic Regression"
"1",0,"testing",0.839285714285714,1,"1Logistic Regression","1__1Logistic Regression"
"0",0,"testing",0.839285714285714,1,"1Logistic Regression","1__1Logistic Regression"
"0",0,"testing",0.839285714285714,1,"1Logistic Regression","1__1Logistic Regression"
"0",0,"testing",0.839285714285714,1,"1Logistic Regression","1__1Logistic Regression"
"0",0,"testing",0.839285714285714,1,"1Logistic Regression","1__1Logistic Regression"
"0",1,"testing",0.839285714285714,1,"1Logistic Regression","1__1Logistic Regression"
"1",1,"testing",0.839285714285714,1,"1Logistic Regression","1__1Logistic Regression"
"0",0,"testing",0.839285714285714,1,"1Logistic Regression","1__1Logistic Regression"
"0",0,"testing",0.839285714285714,1,"1Logistic Regression","1__1Logistic Regression"
"0",0,"testing",0.839285714285714,1,"1Logistic Regression","1__1Logistic Regression"
"0",0,"testing",0.839285714285714,1,"1Logistic Regression","1__1Logistic Regression"
"1",1,"testing",0.839285714285714,1,"1Logistic Regression","1__1Logistic Regression"
"0",0,"testing",0.839285714285714,1,"1Logistic Regression","1__1Logistic Regression"
"0",0,"testing",0.839285714285714,1,"1Logistic Regression","1__1Logistic Regression"
"1",1,"training",0.901785714285714,1,"2ridge","1__2ridge"
"1",1,"training",0.901785714285714,1,"2ridge","1__2ridge"
"0",0,"training",0.901785714285714,1,"2ridge","1__2ridge"
"0",0,"training",0.901785714285714,1,"2ridge","1__2ridge"
"0",0,"training",0.901785714285714,1,"2ridge","1__2ridge"
"0",0,"training",0.901785714285714,1,"2ridge","1__2ridge"
"0",0,"training",0.901785714285714,1,"2ridge","1__2ridge"
"0",0,"training",0.901785714285714,1,"2ridge","1__2ridge"
"1",1,"training",0.901785714285714,1,"2ridge","1__2ridge"
"0",1,"training",0.901785714285714,1,"2ridge","1__2ridge"
"1",0,"training",0.901785714285714,1,"2ridge","1__2ridge"
"1",1,"training",0.901785714285714,1,"2ridge","1__2ridge"
"1",1,"training",0.901785714285714,1,"2ridge","1__2ridge"
"0",0,"training",0.901785714285714,1,"2ridge","1__2ridge"
"1",1,"training",0.901785714285714,1,"2ridge","1__2ridge"
"0",0,"training",0.901785714285714,1,"2ridge","1__2ridge"
"0",1,"training",0.901785714285714,1,"2ridge","1__2ridge"
"0",0,"training",0.901785714285714,1,"2ridge","1__2ridge"
"1",1,"training",0.901785714285714,1,"2ridge","1__2ridge"
"1",1,"training",0.901785714285714,1,"2ridge","1__2ridge"
"0",0,"training",0.901785714285714,1,"2ridge","1__2ridge"
"0",0,"training",0.901785714285714,1,"2ridge","1__2ridge"
"1",1,"training",0.901785714285714,1,"2ridge","1__2ridge"
"1",1,"training",0.901785714285714,1,"2ridge","1__2ridge"
"1",1,"training",0.901785714285714,1,"2ridge","1__2ridge"
"0",0,"training",0.901785714285714,1,"2ridge","1__2ridge"
"0",1,"training",0.901785714285714,1,"2ridge","1__2ridge"
"1",1,"training",0.901785714285714,1,"2ridge","1__2ridge"
"1",1,"training",0.901785714285714,1,"2ridge","1__2ridge"
"1",1,"training",0.901785714285714,1,"2ridge","1__2ridge"
"1",1,"training",0.901785714285714,1,"2ridge","1__2ridge"
"0",1,"training",0.901785714285714,1,"2ridge","1__2ridge"
"1",1,"training",0.901785714285714,1,"2ridge","1__2ridge"
"1",1,"training",0.901785714285714,1,"2ridge","1__2ridge"
"0",0,"training",0.901785714285714,1,"2ridge","1__2ridge"
"1",1,"training",0.901785714285714,1,"2ridge","1__2ridge"
"0",0,"training",0.901785714285714,1,"2ridge","1__2ridge"
"1",1,"training",0.901785714285714,1,"2ridge","1__2ridge"
"0",0,"training",0.901785714285714,1,"2ridge","1__2ridge"
"1",1,"training",0.901785714285714,1,"2ridge","1__2ridge"
"1",1,"training",0.901785714285714,1,"2ridge","1__2ridge"
"1",1,"training",0.901785714285714,1,"2ridge","1__2ridge"
"1",1,"training",0.901785714285714,1,"2ridge","1__2ridge"
"0",0,"training",0.901785714285714,1,"2ridge","1__2ridge"
"0",0,"training",0.901785714285714,1,"2ridge","1__2ridge"
"0",0,"training",0.901785714285714,1,"2ridge","1__2ridge"
"0",0,"training",0.901785714285714,1,"2ridge","1__2ridge"
"1",1,"training",0.901785714285714,1,"2ridge","1__2ridge"
"1",1,"training",0.901785714285714,1,"2ridge","1__2ridge"
"0",0,"training",0.901785714285714,1,"2ridge","1__2ridge"
"1",1,"training",0.901785714285714,1,"2ridge","1__2ridge"
"1",1,"training",0.901785714285714,1,"2ridge","1__2ridge"
"0",0,"training",0.901785714285714,1,"2ridge","1__2ridge"
"1",1,"training",0.901785714285714,1,"2ridge","1__2ridge"
"1",1,"training",0.901785714285714,1,"2ridge","1__2ridge"
"1",1,"training",0.901785714285714,1,"2ridge","1__2ridge"
"1",1,"training",0.901785714285714,1,"2ridge","1__2ridge"
"0",0,"training",0.901785714285714,1,"2ridge","1__2ridge"
"0",0,"training",0.901785714285714,1,"2ridge","1__2ridge"
"1",1,"training",0.901785714285714,1,"2ridge","1__2ridge"
"0",0,"training",0.901785714285714,1,"2ridge","1__2ridge"
"0",0,"training",0.901785714285714,1,"2ridge","1__2ridge"
"1",1,"training",0.901785714285714,1,"2ridge","1__2ridge"
"1",1,"training",0.901785714285714,1,"2ridge","1__2ridge"
"0",0,"training",0.901785714285714,1,"2ridge","1__2ridge"
"0",0,"training",0.901785714285714,1,"2ridge","1__2ridge"
"0",0,"training",0.901785714285714,1,"2ridge","1__2ridge"
"0",0,"training",0.901785714285714,1,"2ridge","1__2ridge"
"0",0,"training",0.901785714285714,1,"2ridge","1__2ridge"
"0",0,"training",0.901785714285714,1,"2ridge","1__2ridge"
"0",0,"training",0.901785714285714,1,"2ridge","1__2ridge"
"1",1,"training",0.901785714285714,1,"2ridge","1__2ridge"
"1",1,"training",0.901785714285714,1,"2ridge","1__2ridge"
"1",1,"training",0.901785714285714,1,"2ridge","1__2ridge"
"1",1,"training",0.901785714285714,1,"2ridge","1__2ridge"
"1",1,"training",0.901785714285714,1,"2ridge","1__2ridge"
"0",0,"training",0.901785714285714,1,"2ridge","1__2ridge"
"0",0,"training",0.901785714285714,1,"2ridge","1__2ridge"
"0",0,"training",0.901785714285714,1,"2ridge","1__2ridge"
"0",0,"training",0.901785714285714,1,"2ridge","1__2ridge"
"0",0,"training",0.901785714285714,1,"2ridge","1__2ridge"
"1",1,"training",0.901785714285714,1,"2ridge","1__2ridge"
"1",1,"training",0.901785714285714,1,"2ridge","1__2ridge"
"0",0,"training",0.901785714285714,1,"2ridge","1__2ridge"
"1",1,"training",0.901785714285714,1,"2ridge","1__2ridge"
"1",1,"training",0.901785714285714,1,"2ridge","1__2ridge"
"1",0,"training",0.901785714285714,1,"2ridge","1__2ridge"
"0",0,"training",0.901785714285714,1,"2ridge","1__2ridge"
"1",1,"training",0.901785714285714,1,"2ridge","1__2ridge"
"1",1,"training",0.901785714285714,1,"2ridge","1__2ridge"
"0",1,"training",0.901785714285714,1,"2ridge","1__2ridge"
"1",1,"training",0.901785714285714,1,"2ridge","1__2ridge"
"1",0,"training",0.901785714285714,1,"2ridge","1__2ridge"
"0",0,"training",0.901785714285714,1,"2ridge","1__2ridge"
"0",0,"training",0.901785714285714,1,"2ridge","1__2ridge"
"1",0,"training",0.901785714285714,1,"2ridge","1__2ridge"
"0",0,"training",0.901785714285714,1,"2ridge","1__2ridge"
"1",1,"training",0.901785714285714,1,"2ridge","1__2ridge"
"1",1,"training",0.901785714285714,1,"2ridge","1__2ridge"
"0",0,"training",0.901785714285714,1,"2ridge","1__2ridge"
"1",1,"training",0.901785714285714,1,"2ridge","1__2ridge"
"0",0,"training",0.901785714285714,1,"2ridge","1__2ridge"
"0",0,"training",0.901785714285714,1,"2ridge","1__2ridge"
"0",0,"training",0.901785714285714,1,"2ridge","1__2ridge"
"0",0,"training",0.901785714285714,1,"2ridge","1__2ridge"
"1",1,"training",0.901785714285714,1,"2ridge","1__2ridge"
"0",0,"training",0.901785714285714,1,"2ridge","1__2ridge"
"1",1,"training",0.901785714285714,1,"2ridge","1__2ridge"
"0",0,"training",0.901785714285714,1,"2ridge","1__2ridge"
"1",0,"training",0.901785714285714,1,"2ridge","1__2ridge"
"1",0,"training",0.901785714285714,1,"2ridge","1__2ridge"
"0",0,"training",0.901785714285714,1,"2ridge","1__2ridge"
"0",0,"testing",0.839285714285714,1,"2ridge","1__2ridge"
"1",1,"testing",0.839285714285714,1,"2ridge","1__2ridge"
"0",0,"testing",0.839285714285714,1,"2ridge","1__2ridge"
"0",0,"testing",0.839285714285714,1,"2ridge","1__2ridge"
"1",0,"testing",0.839285714285714,1,"2ridge","1__2ridge"
"0",0,"testing",0.839285714285714,1,"2ridge","1__2ridge"
"0",0,"testing",0.839285714285714,1,"2ridge","1__2ridge"
"0",0,"testing",0.839285714285714,1,"2ridge","1__2ridge"
"0",0,"testing",0.839285714285714,1,"2ridge","1__2ridge"
"0",1,"testing",0.839285714285714,1,"2ridge","1__2ridge"
"1",1,"testing",0.839285714285714,1,"2ridge","1__2ridge"
"0",0,"testing",0.839285714285714,1,"2ridge","1__2ridge"
"0",0,"testing",0.839285714285714,1,"2ridge","1__2ridge"
"0",0,"testing",0.839285714285714,1,"2ridge","1__2ridge"
"0",0,"testing",0.839285714285714,1,"2ridge","1__2ridge"
"1",1,"testing",0.839285714285714,1,"2ridge","1__2ridge"
"0",0,"testing",0.839285714285714,1,"2ridge","1__2ridge"
"0",0,"testing",0.839285714285714,1,"2ridge","1__2ridge"
"1",1,"training",0.901785714285714,1,"3lasso","1__3lasso"
"1",1,"training",0.901785714285714,1,"3lasso","1__3lasso"
"0",0,"training",0.901785714285714,1,"3lasso","1__3lasso"
"0",0,"training",0.901785714285714,1,"3lasso","1__3lasso"
"0",0,"training",0.901785714285714,1,"3lasso","1__3lasso"
"0",0,"training",0.901785714285714,1,"3lasso","1__3lasso"
"0",0,"training",0.901785714285714,1,"3lasso","1__3lasso"
"0",0,"training",0.901785714285714,1,"3lasso","1__3lasso"
"1",1,"training",0.901785714285714,1,"3lasso","1__3lasso"
"0",1,"training",0.901785714285714,1,"3lasso","1__3lasso"
"1",0,"training",0.901785714285714,1,"3lasso","1__3lasso"
"1",1,"training",0.901785714285714,1,"3lasso","1__3lasso"
"1",1,"training",0.901785714285714,1,"3lasso","1__3lasso"
"0",0,"training",0.901785714285714,1,"3lasso","1__3lasso"
"1",1,"training",0.901785714285714,1,"3lasso","1__3lasso"
"0",0,"training",0.901785714285714,1,"3lasso","1__3lasso"
"0",1,"training",0.901785714285714,1,"3lasso","1__3lasso"
"0",0,"training",0.901785714285714,1,"3lasso","1__3lasso"
"1",1,"training",0.901785714285714,1,"3lasso","1__3lasso"
"1",1,"training",0.901785714285714,1,"3lasso","1__3lasso"
"0",0,"training",0.901785714285714,1,"3lasso","1__3lasso"
"0",0,"training",0.901785714285714,1,"3lasso","1__3lasso"
"1",1,"training",0.901785714285714,1,"3lasso","1__3lasso"
"1",1,"training",0.901785714285714,1,"3lasso","1__3lasso"
"1",1,"training",0.901785714285714,1,"3lasso","1__3lasso"
"0",0,"training",0.901785714285714,1,"3lasso","1__3lasso"
"0",1,"training",0.901785714285714,1,"3lasso","1__3lasso"
"1",1,"training",0.901785714285714,1,"3lasso","1__3lasso"
"1",1,"training",0.901785714285714,1,"3lasso","1__3lasso"
"1",1,"training",0.901785714285714,1,"3lasso","1__3lasso"
"1",1,"training",0.901785714285714,1,"3lasso","1__3lasso"
"0",1,"training",0.901785714285714,1,"3lasso","1__3lasso"
"1",1,"training",0.901785714285714,1,"3lasso","1__3lasso"
"1",1,"training",0.901785714285714,1,"3lasso","1__3lasso"
"0",0,"training",0.901785714285714,1,"3lasso","1__3lasso"
"1",1,"training",0.901785714285714,1,"3lasso","1__3lasso"
"0",0,"training",0.901785714285714,1,"3lasso","1__3lasso"
"1",1,"training",0.901785714285714,1,"3lasso","1__3lasso"
"0",0,"training",0.901785714285714,1,"3lasso","1__3lasso"
"1",1,"training",0.901785714285714,1,"3lasso","1__3lasso"
"1",1,"training",0.901785714285714,1,"3lasso","1__3lasso"
"1",1,"training",0.901785714285714,1,"3lasso","1__3lasso"
"1",1,"training",0.901785714285714,1,"3lasso","1__3lasso"
"0",0,"training",0.901785714285714,1,"3lasso","1__3lasso"
"0",0,"training",0.901785714285714,1,"3lasso","1__3lasso"
"0",0,"training",0.901785714285714,1,"3lasso","1__3lasso"
"0",0,"training",0.901785714285714,1,"3lasso","1__3lasso"
"1",1,"training",0.901785714285714,1,"3lasso","1__3lasso"
"1",1,"training",0.901785714285714,1,"3lasso","1__3lasso"
"0",0,"training",0.901785714285714,1,"3lasso","1__3lasso"
"1",1,"training",0.901785714285714,1,"3lasso","1__3lasso"
"1",1,"training",0.901785714285714,1,"3lasso","1__3lasso"
"0",0,"training",0.901785714285714,1,"3lasso","1__3lasso"
"1",1,"training",0.901785714285714,1,"3lasso","1__3lasso"
"1",1,"training",0.901785714285714,1,"3lasso","1__3lasso"
"1",1,"training",0.901785714285714,1,"3lasso","1__3lasso"
"1",1,"training",0.901785714285714,1,"3lasso","1__3lasso"
"0",0,"training",0.901785714285714,1,"3lasso","1__3lasso"
"0",0,"training",0.901785714285714,1,"3lasso","1__3lasso"
"1",1,"training",0.901785714285714,1,"3lasso","1__3lasso"
"0",0,"training",0.901785714285714,1,"3lasso","1__3lasso"
"0",0,"training",0.901785714285714,1,"3lasso","1__3lasso"
"1",1,"training",0.901785714285714,1,"3lasso","1__3lasso"
"1",1,"training",0.901785714285714,1,"3lasso","1__3lasso"
"0",0,"training",0.901785714285714,1,"3lasso","1__3lasso"
"0",0,"training",0.901785714285714,1,"3lasso","1__3lasso"
"0",0,"training",0.901785714285714,1,"3lasso","1__3lasso"
"0",0,"training",0.901785714285714,1,"3lasso","1__3lasso"
"0",0,"training",0.901785714285714,1,"3lasso","1__3lasso"
"0",0,"training",0.901785714285714,1,"3lasso","1__3lasso"
"0",0,"training",0.901785714285714,1,"3lasso","1__3lasso"
"1",1,"training",0.901785714285714,1,"3lasso","1__3lasso"
"1",1,"training",0.901785714285714,1,"3lasso","1__3lasso"
"1",1,"training",0.901785714285714,1,"3lasso","1__3lasso"
"1",1,"training",0.901785714285714,1,"3lasso","1__3lasso"
"1",1,"training",0.901785714285714,1,"3lasso","1__3lasso"
"0",0,"training",0.901785714285714,1,"3lasso","1__3lasso"
"0",0,"training",0.901785714285714,1,"3lasso","1__3lasso"
"0",0,"training",0.901785714285714,1,"3lasso","1__3lasso"
"0",0,"training",0.901785714285714,1,"3lasso","1__3lasso"
"0",0,"training",0.901785714285714,1,"3lasso","1__3lasso"
"1",1,"training",0.901785714285714,1,"3lasso","1__3lasso"
"1",1,"training",0.901785714285714,1,"3lasso","1__3lasso"
"0",0,"training",0.901785714285714,1,"3lasso","1__3lasso"
"1",1,"training",0.901785714285714,1,"3lasso","1__3lasso"
"1",1,"training",0.901785714285714,1,"3lasso","1__3lasso"
"1",0,"training",0.901785714285714,1,"3lasso","1__3lasso"
"0",0,"training",0.901785714285714,1,"3lasso","1__3lasso"
"1",1,"training",0.901785714285714,1,"3lasso","1__3lasso"
"1",1,"training",0.901785714285714,1,"3lasso","1__3lasso"
"0",1,"training",0.901785714285714,1,"3lasso","1__3lasso"
"1",1,"training",0.901785714285714,1,"3lasso","1__3lasso"
"1",0,"training",0.901785714285714,1,"3lasso","1__3lasso"
"0",0,"training",0.901785714285714,1,"3lasso","1__3lasso"
"0",0,"training",0.901785714285714,1,"3lasso","1__3lasso"
"1",0,"training",0.901785714285714,1,"3lasso","1__3lasso"
"0",0,"training",0.901785714285714,1,"3lasso","1__3lasso"
"1",1,"training",0.901785714285714,1,"3lasso","1__3lasso"
"1",1,"training",0.901785714285714,1,"3lasso","1__3lasso"
"0",0,"training",0.901785714285714,1,"3lasso","1__3lasso"
"1",1,"training",0.901785714285714,1,"3lasso","1__3lasso"
"0",0,"training",0.901785714285714,1,"3lasso","1__3lasso"
"0",0,"training",0.901785714285714,1,"3lasso","1__3lasso"
"0",0,"training",0.901785714285714,1,"3lasso","1__3lasso"
"0",0,"training",0.901785714285714,1,"3lasso","1__3lasso"
"1",1,"training",0.901785714285714,1,"3lasso","1__3lasso"
"0",0,"training",0.901785714285714,1,"3lasso","1__3lasso"
"1",1,"training",0.901785714285714,1,"3lasso","1__3lasso"
"0",0,"training",0.901785714285714,1,"3lasso","1__3lasso"
"1",0,"training",0.901785714285714,1,"3lasso","1__3lasso"
"1",0,"training",0.901785714285714,1,"3lasso","1__3lasso"
"0",0,"training",0.901785714285714,1,"3lasso","1__3lasso"
"0",0,"testing",0.839285714285714,1,"3lasso","1__3lasso"
"1",1,"testing",0.839285714285714,1,"3lasso","1__3lasso"
"0",0,"testing",0.839285714285714,1,"3lasso","1__3lasso"
"0",0,"testing",0.839285714285714,1,"3lasso","1__3lasso"
"1",0,"testing",0.839285714285714,1,"3lasso","1__3lasso"
"0",0,"testing",0.839285714285714,1,"3lasso","1__3lasso"
"0",0,"testing",0.839285714285714,1,"3lasso","1__3lasso"
"0",0,"testing",0.839285714285714,1,"3lasso","1__3lasso"
"0",0,"testing",0.839285714285714,1,"3lasso","1__3lasso"
"0",1,"testing",0.839285714285714,1,"3lasso","1__3lasso"
"1",1,"testing",0.839285714285714,1,"3lasso","1__3lasso"
"0",0,"testing",0.839285714285714,1,"3lasso","1__3lasso"
"0",0,"testing",0.839285714285714,1,"3lasso","1__3lasso"
"0",0,"testing",0.839285714285714,1,"3lasso","1__3lasso"
"0",0,"testing",0.839285714285714,1,"3lasso","1__3lasso"
"1",1,"testing",0.839285714285714,1,"3lasso","1__3lasso"
"0",0,"testing",0.839285714285714,1,"3lasso","1__3lasso"
"0",0,"testing",0.839285714285714,1,"3lasso","1__3lasso"
"1",1,"training",0.919642857142857,1,"4KNN","1__4KNN"
"1",1,"training",0.919642857142857,1,"4KNN","1__4KNN"
"0",0,"training",0.919642857142857,1,"4KNN","1__4KNN"
"0",0,"training",0.919642857142857,1,"4KNN","1__4KNN"
"0",0,"training",0.919642857142857,1,"4KNN","1__4KNN"
"0",0,"training",0.919642857142857,1,"4KNN","1__4KNN"
"0",0,"training",0.919642857142857,1,"4KNN","1__4KNN"
"0",0,"training",0.919642857142857,1,"4KNN","1__4KNN"
"1",1,"training",0.919642857142857,1,"4KNN","1__4KNN"
"1",1,"training",0.919642857142857,1,"4KNN","1__4KNN"
"1",0,"training",0.919642857142857,1,"4KNN","1__4KNN"
