"protein","reporter","unique","value","batch"
"O00487","5",6,277372,"RA0102_peptides.txt"
"O00499","0",5,512630,"RA0102_peptides.txt"
"O00499","3",5,207768,"RA0102_peptides.txt"
"O00499","5",5,183981,"RA0102_peptides.txt"
"O00505","0",2,0,"RA0102_peptides.txt"
"O00505","3",2,0,"RA0102_peptides.txt"
"O00505","5",2,0,"RA0102_peptides.txt"
"O00534","0",13,2009699.6,"RA0102_peptides.txt"
"O00534","3",13,502958.7,"RA0102_peptides.txt"
"O00534","5",13,1075472.3,"RA0102_peptides.txt"
"O00541","0",2,0,"RA0102_peptides.txt"
"O00541","3",2,0,"RA0102_peptides.txt"
"O00541","5",2,0,"RA0102_peptides.txt"
"O00560","0",3,144937,"RA0102_peptides.txt"
"O00560","3",3,54395.2,"RA0102_peptides.txt"
"O00560","5",3,70347.2,"RA0102_peptides.txt"
"O00566","0",1,0,"RA0102_peptides.txt"
"O00566","3",1,0,"RA0102_peptides.txt"
"O00566","5",1,0,"RA0102_peptides.txt"
"O00567","0",7,440577,"RA0102_peptides.txt"
"O00567","3",7,235355,"RA0102_peptides.txt"
"O00567","5",7,293061,"RA0102_peptides.txt"
"O00571","0",2,123815,"RA0102_peptides.txt"
"O00571","3",2,29375,"RA0102_peptides.txt"
"O00571","5",2,39719,"RA0102_peptides.txt"
"O00584","0",4,234875,"RA0102_peptides.txt"
"O00584","3",4,108584,"RA0102_peptides.txt"
"O00584","5",4,225822,"RA0102_peptides.txt"
"O00592","0",5,82326,"RA0102_peptides.txt"
"O00592","3",5,49464,"RA0102_peptides.txt"
"O00592","5",5,32750.6,"RA0102_peptides.txt"
"O00602","0",3,37983,"RA0102_peptides.txt"
"O00602","3",3,3535.9,"RA0102_peptides.txt"
"O00602","5",3,71354,"RA0102_peptides.txt"
"O00635","0",1,19982,"RA0102_peptides.txt"
"O00635","3",1,46349,"RA0102_peptides.txt"
"O00635","5",1,45621,"RA0102_peptides.txt"
"O00743","0",4,204262,"RA0102_peptides.txt"
"O00743","3",4,68342,"RA0102_peptides.txt"
"O00743","5",4,124367,"RA0102_peptides.txt"
"O00754","0",5,275329,"RA0102_peptides.txt"
"O00754","3",5,124539,"RA0102_peptides.txt"
"O00754","5",5,206884,"RA0102_peptides.txt"
"O00757","0",3,248837,"RA0102_peptides.txt"
"O00757","3",3,12262.6,"RA0102_peptides.txt"
"O00757","5",3,11918.2,"RA0102_peptides.txt"
"O00763","0",4,143056,"RA0102_peptides.txt"
"O00763","3",4,148209,"RA0102_peptides.txt"
"O00763","5",4,25278.9,"RA0102_peptides.txt"
"O00764","0",4,71024,"RA0102_peptides.txt"
"O00764","3",4,63263,"RA0102_peptides.txt"
"O00764","5",4,111178,"RA0102_peptides.txt"
"O14494","0",2,307780,"RA0102_peptides.txt"
"O14494","3",2,132491,"RA0102_peptides.txt"
"O14494","5",2,90990,"RA0102_peptides.txt"
"O14495","0",6,25403.5,"RA0102_peptides.txt"
"O14495","3",6,159303,"RA0102_peptides.txt"
"O14495","5",6,43255.3,"RA0102_peptides.txt"
"O14497","0",2,12483,"RA0102_peptides.txt"
"O14497","3",2,7165.7,"RA0102_peptides.txt"
"O14497","5",2,11065,"RA0102_peptides.txt"
"O14498","0",4,86421,"RA0102_peptides.txt"
"O14498","3",4,129047,"RA0102_peptides.txt"
"O14498","5",4,103220,"RA0102_peptides.txt"
"O14521","0",1,367830,"RA0102_peptides.txt"
"O14521","3",1,71292,"RA0102_peptides.txt"
"O14521","5",1,317740,"RA0102_peptides.txt"
"O14524","0",3,81462,"RA0102_peptides.txt"
"O14524","3",3,45606,"RA0102_peptides.txt"
"O14524","5",3,51553,"RA0102_peptides.txt"
"O14548","0",3,134015,"RA0102_peptides.txt"
"O14548","3",3,90359,"RA0102_peptides.txt"
"O14548","5",3,191914,"RA0102_peptides.txt"
"O14558","0",2,234840,"RA0102_peptides.txt"
"O14558","3",2,264057,"RA0102_peptides.txt"
"O14558","5",2,79437,"RA0102_peptides.txt"
"O14561","0",2,140750,"RA0102_peptides.txt"
"O14561","3",2,16304,"RA0102_peptides.txt"
"O14561","5",2,21581,"RA0102_peptides.txt"
"O14562","0",2,137410,"RA0102_peptides.txt"
"O14562","3",2,38697,"RA0102_peptides.txt"
"O14562","5",2,15358,"RA0102_peptides.txt"
"O14569","0",1,13913,"RA0102_peptides.txt"
"O14569","3",1,6576.3,"RA0102_peptides.txt"
"O14569","5",1,7500.8,"RA0102_peptides.txt"
"O14578","0",1,0,"RA0102_peptides.txt"
"O14578","3",1,0,"RA0102_peptides.txt"
"O14578","5",1,0,"RA0102_peptides.txt"
"O14579","0",3,431292,"RA0102_peptides.txt"
"O14579","3",3,156567,"RA0102_peptides.txt"
"O14579","5",3,306390,"RA0102_peptides.txt"
"O14617","0",10,513965,"RA0102_peptides.txt"
"O14617","3",10,170698.1,"RA0102_peptides.txt"
"O14617","5",10,323233,"RA0102_peptides.txt"
"O14618","0",3,45409,"RA0102_peptides.txt"
"O14618","3",3,20761,"RA0102_peptides.txt"
"O14618","5",3,21700,"RA0102_peptides.txt"
"O14639","0",3,445810,"RA0102_peptides.txt"
"O14639","3",3,113898,"RA0102_peptides.txt"
"O14639","5",3,79984,"RA0102_peptides.txt"
"O14647","0",1,53606,"RA0102_peptides.txt"
"O14647","3",1,21851,"RA0102_peptides.txt"
"O14647","5",1,21032,"RA0102_peptides.txt"
"O14653","0",1,39222,"RA0102_peptides.txt"
"O14653","3",1,16786,"RA0102_peptides.txt"
"O14653","5",1,21938,"RA0102_peptides.txt"
"O14656","0",1,0,"RA0102_peptides.txt"
"O14656","3",1,0,"RA0102_peptides.txt"
"O14656","5",1,0,"RA0102_peptides.txt"
"O14657","0",1,88230,"RA0102_peptides.txt"
"O14657","3",1,15135,"RA0102_peptides.txt"
"O14657","5",1,32909,"RA0102_peptides.txt"
"O14672","0",5,48437.2,"RA0102_peptides.txt"
"O14672","3",5,27700.3,"RA0102_peptides.txt"
"O14672","5",5,53787.9,"RA0102_peptides.txt"
"O14681","0",2,112010,"RA0102_peptides.txt"
"O14681","3",2,56741,"RA0102_peptides.txt"
"O14681","5",2,36611,"RA0102_peptides.txt"
"O14683","0",1,194710,"RA0102_peptides.txt"
"O14683","3",1,83943,"RA0102_peptides.txt"
"O14683","5",1,67178,"RA0102_peptides.txt"
"O14684","0",2,0,"RA0102_peptides.txt"
"O14684","3",2,0,"RA0102_peptides.txt"
"O14684","5",2,0,"RA0102_peptides.txt"
"O14727","0",3,0,"RA0102_peptides.txt"
"O14727","3",3,0,"RA0102_peptides.txt"
"O14727","5",3,0,"RA0102_peptides.txt"
"O14735","0",2,122740,"RA0102_peptides.txt"
"O14735","3",2,41495,"RA0102_peptides.txt"
"O14735","5",2,53516,"RA0102_peptides.txt"
"O14737","0",2,263940,"RA0102_peptides.txt"
"O14737","3",2,210630,"RA0102_peptides.txt"
"O14737","5",2,115770,"RA0102_peptides.txt"
"O14744","0",6,436759,"RA0102_peptides.txt"
"O14744","3",6,138112,"RA0102_peptides.txt"
"O14744","5",6,188688,"RA0102_peptides.txt"
"O14745","0",8,433378,"RA0102_peptides.txt"
"O14745","3",8,297130,"RA0102_peptides.txt"
"O14745","5",8,292733,"RA0102_peptides.txt"
"O14773","0",4,230500,"RA0102_peptides.txt"
"O14773","3",4,313334,"RA0102_peptides.txt"
"O14773","5",4,447164,"RA0102_peptides.txt"
"O14776","0",8,244981,"RA0102_peptides.txt"
"O14776","3",8,172494,"RA0102_peptides.txt"
"O14776","5",8,196198,"RA0102_peptides.txt"
"O14786","0",7,340095,"RA0102_peptides.txt"
"O14786","3",7,160266,"RA0102_peptides.txt"
"O14786","5",7,138883,"RA0102_peptides.txt"
"O14787","0",1,14929,"RA0102_peptides.txt"
"O14787","3",1,69753,"RA0102_peptides.txt"
"O14787","5",1,63472,"RA0102_peptides.txt"
"O14791","0",3,296171.3,"RA0102_peptides.txt"
"O14791","3",3,91927.1,"RA0102_peptides.txt"
"O14791","5",3,156781,"RA0102_peptides.txt"
"O14802","0",1,0,"RA0102_peptides.txt"
"O14802","3",1,0,"RA0102_peptides.txt"
"O14802","5",1,0,"RA0102_peptides.txt"
"O14807","0",1,51767,"RA0102_peptides.txt"
"O14807","3",1,34241,"RA0102_peptides.txt"
"O14807","5",1,28782,"RA0102_peptides.txt"
"O14818","0",9,1363816,"RA0102_peptides.txt"
"O14818","3",9,793355,"RA0102_peptides.txt"
"O14818","5",9,1274842,"RA0102_peptides.txt"
"O14830","0",1,136840,"RA0102_peptides.txt"
"O14830","3",1,9732.7,"RA0102_peptides.txt"
"O14830","5",1,16006,"RA0102_peptides.txt"
